Runway_Gens,Seed,Best_Eq,Train_MSE,Recovered,Final_Unique,Migrations_Accepted,Migrations_Attempted
0,42,(X1*(X2-exp(-1.0))),0.057355280965566635,NO,16,1,144
0,1337,((X2*(0.5*X1))*X2),0.03500000014901161,YES,16,0,144
0,9999,(X1*(X2-(0.5-0.1))),0.06547864526510239,NO,15,1,144
10,42,(abs((X2-0.5))*X1),0.08167704194784164,NO,15,3,144
10,1337,(X1*(X2-(X1/exp(X1)))),0.06909257173538208,NO,16,6,144
10,9999,(X1*log(((exp(X2)-(X2-X1))-X1))),0.06740720570087433,NO,15,3,144
50,42,(X1*(X2-exp((log(X1)-X1)))),0.07409244775772095,NO,16,3,144
50,1337,INVALID,0.08054282516241074,NO,15,2,144
50,9999,(X1*log((exp(X2)-X2))),0.047407202422618866,YES,16,3,144
100,42,(X1*(X2-0.5)),0.08362118899822235,NO,14,4,144
100,1337,(0.5*((X2*X2)*X1)),0.03500000014901161,YES,16,4,144
100,9999,(X1*(X2*(0.5*X2))),0.03500000014901161,YES,15,1,144
250,42,(((X1*((X1/X1)*X2))*0.5)*X2),0.054999999701976776,NO,15,4,144
250,1337,(X2*((X1*0.5)*X2)),0.03500000014901161,YES,15,3,144
250,9999,abs((X1*(0.5-X2))),0.08167704194784164,NO,16,2,144
