corruption_distance,initial_MSE,minimum_MSE_ever,generation_of_minimum,final_MSE,exact_hit_ever,first_exact_hit_gen,number_of_exact_hits,exact_retained,maximum_delta_J
1,237.13109,108.43366,0,1000000000.00000,False,-1,0,False,128.69743
1,1000000000.00000,0.03500,6,230.91795,True,6,1,False,999999999.96500
1,1000000000.00000,0.03500,6,237.71136,True,6,2,False,999999999.96500
1,1000000000.00000,126.21457,171,1000000000.00000,False,-1,0,False,999999873.78543
1,1000000000.00000,202.20006,28,1000000000.00000,False,-1,0,False,999999797.79994
1,1000000000.00000,126.34309,92,1000000000.00000,False,-1,0,False,999999873.65691
1,201.54111,0.04000,1,1000000000.00000,True,1,1,False,201.50111
1,201.54111,114.62945,44,1000000000.00000,False,-1,0,False,86.91166
1,1000000000.00000,134.13847,3,1000000000.00000,False,-1,0,False,999999865.86153
1,107.30476,54.64013,0,228.44106,False,-1,0,False,52.66462
1,1000000000.00000,114.60944,194,1000000000.00000,False,-1,0,False,999999885.39056
1,155.66695,0.03500,0,1000000000.00000,True,0,1,False,155.63195
1,1000000000.00000,115.38950,101,1000000000.00000,False,-1,0,False,999999884.61050
1,1000000000.00000,92.51377,2,1000000000.00000,False,-1,0,False,999999907.48623
1,1000000000.00000,124.71684,155,1000000000.00000,False,-1,0,False,999999875.28316
1,1000000000.00000,52.39445,11,1000000000.00000,False,-1,0,False,999999947.60555
1,214.00467,54.64013,0,1000000000.00000,False,-1,0,False,159.36454
1,237.13109,0.03500,0,1000000000.00000,True,0,2,False,237.09609
1,1000000000.00000,0.03500,1,1000000000.00000,True,1,2,False,999999999.96500
1,131.94560,131.94560,0,1000000000.00000,False,-1,0,False,0.00000
1,102.66048,0.03500,0,1000000000.00000,True,0,1,False,102.62548
1,1000000000.00000,134.53683,45,1000000000.00000,False,-1,0,False,999999865.46317
1,315.21738,0.03500,0,1000000000.00000,True,0,1,False,315.18238
1,1000000000.00000,117.99149,19,1000000000.00000,False,-1,0,False,999999882.00851
1,1000000000.00000,184.11707,134,1000000000.00000,False,-1,0,False,999999815.88293
1,110.30239,0.03500,0,1000000000.00000,True,0,1,False,110.26739
1,155.66695,0.03500,1,1000000000.00000,True,1,1,False,155.63195
1,1000000000.00000,79.02309,2,1000000000.00000,False,-1,0,False,999999920.97691
1,1000000000.00000,96.44762,0,269.29251,False,-1,0,False,999999903.55238
1,1000000000.00000,87.80806,4,264.40714,False,-1,0,False,999999912.19194
1,1000000000.00000,79.01809,4,1000000000.00000,False,-1,0,False,999999920.98191
1,110.30239,0.04000,0,1000000000.00000,True,0,1,False,110.26239
1,134.13847,0.04000,0,1000000000.00000,True,0,1,False,134.09847
1,1000000000.00000,128.07663,28,1000000000.00000,False,-1,0,False,999999871.92337
1,1000000000.00000,52.73775,5,1000000000.00000,False,-1,0,False,999999947.26225
1,1000000000.00000,369.74432,15,1000000000.00000,False,-1,0,False,999999630.25568
1,803.36713,54.64013,0,1000000000.00000,False,-1,0,False,748.72699
1,1000000000.00000,150.28125,14,1000000000.00000,False,-1,0,False,999999849.71875
1,1000000000.00000,181.47966,164,1000000000.00000,False,-1,0,False,999999818.52034
1,1000000000.00000,183.38121,63,1000000000.00000,False,-1,0,False,999999816.61879
