Starting PRIME Symbolic Regression...
Gen    0 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  4 | Thresh:  12.2 | Eq: INVALID
Gen   10 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  13.9 | Eq: INVALID
Gen   20 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  3 | Thresh:  15.0 | Eq: INVALID
Gen   30 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  13.5 | Eq: INVALID
Gen   40 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  16.8 | Eq: INVALID
Gen   50 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  19.3 | Eq: INVALID
Gen   60 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  19.6 | Eq: INVALID
Gen   70 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  3 | Thresh:  17.4 | Eq: INVALID
Gen   80 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.4 | Eq: INVALID
Gen   90 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  20.8 | Eq: INVALID
Gen  100 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.4 | Eq: INVALID
Gen  110 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.2 | Eq: INVALID
Gen  120 | Mean Fit:  -916.52 | Max Fit:    -9.15 | Flips:  2 | Thresh:  30.4 | Eq: (sin(((X * (X * 1)) * (4 * (X - 2)))) * sin(X))
Gen  130 | Mean Fit:  -996.42 | Max Fit:   -23.01 | Flips:  0 | Thresh:  23.3 | Eq: INVALID
Gen  140 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.0 | Eq: INVALID
Gen  150 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.3 | Eq: INVALID
Gen  160 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.5 | Eq: INVALID
Gen  170 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  16.9 | Eq: INVALID
Gen  180 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.2 | Eq: INVALID
Gen  190 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.5 | Eq: INVALID
Gen  200 | Mean Fit:  -753.70 | Max Fit:    -6.94 | Flips:  3 | Thresh:  32.4 | Eq: INVALID
Gen  210 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  23.5 | Eq: INVALID
Gen  220 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  21.1 | Eq: INVALID
Gen  230 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  22.3 | Eq: INVALID
Gen  240 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  17.4 | Eq: INVALID
Gen  250 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.5 | Eq: INVALID
Gen  260 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.6 | Eq: INVALID
Gen  270 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.0 | Eq: INVALID
Gen  280 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.2 | Eq: INVALID
Gen  290 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  18.8 | Eq: INVALID
Gen  300 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.6 | Eq: INVALID
Gen  310 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  21.5 | Eq: INVALID
Gen  320 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  23.3 | Eq: INVALID
Gen  330 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  20.9 | Eq: INVALID
Gen  340 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.5 | Eq: INVALID
Gen  350 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  14.7 | Eq: INVALID
Gen  360 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.6 | Eq: INVALID
Gen  370 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  3 | Thresh:  14.6 | Eq: INVALID
Gen  380 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  17.6 | Eq: INVALID
Gen  390 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  25.4 | Eq: INVALID
Gen  400 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  20.9 | Eq: INVALID
Gen  410 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.5 | Eq: INVALID
Gen  420 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  14.6 | Eq: INVALID
Gen  430 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  18.1 | Eq: INVALID
Gen  440 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  18.5 | Eq: INVALID
Gen  450 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.5 | Eq: INVALID
Gen  460 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  14.6 | Eq: INVALID
