Migration_Type,Islands,Island_Pop,Seed,Best_Eq,Train_MSE,Min_Hamming,Recovered,Final_Inter_Dist,Final_Unique,Migrations_Accepted,Migrations_Attempted
whole,2,1024,42,(X1*log((X2-exp(X2)))),0.047407202422618866,6,NO,0.0,1,2,18
whole,2,1024,1337,INVALID,0.05848519876599312,6,NO,0.0,1,1,18
whole,2,1024,9999,INVALID,0.13856908679008484,6,NO,0.0,1,1,18
whole,4,512,42,(((X2*X1)*X2)*0.5),0.03500000014901161,11,NO,12.166666666666666,4,1,36
whole,4,512,1337,((X2-sin(0.5))*X1),0.08055289834737778,6,NO,7.166666666666667,3,2,36
whole,4,512,9999,(((0.1/X1)+(X2*X1))-0.5),0.08804580569267273,6,NO,0.6666666666666666,2,6,36
whole,8,256,42,(X1*abs((X5-((0.5+X5)-X2)))),0.1016770452260971,6,NO,4.5,5,12,72
whole,8,256,1337,((X2-abs(0.5))*X1),0.08862119168043137,6,NO,0.0,1,10,72
whole,8,256,9999,(X1*(abs(abs(X2))-exp(-1.0))),0.06735528260469437,6,NO,2.4642857142857144,3,13,72
whole,16,128,42,((X2*(0.5*X1))*X2),0.03500000014901161,6,NO,8.466666666666667,11,13,144
whole,16,128,1337,abs((X1*(0.5-X2))),0.08167704194784164,6,NO,2.45,4,27,144
whole,16,128,9999,(X1*(X2-exp(-1.0))),0.057355280965566635,6,NO,6.791666666666667,10,14,144
subtree,2,1024,42,(X1*(X2-exp(-1.0))),0.057355280965566635,7,NO,12.0,2,0,18
subtree,2,1024,1337,(X1*log((exp(X2)-X2))),0.047407202422618866,6,NO,7.0,2,0,18
subtree,2,1024,9999,((X1-(X1+X1))*(0.5-X2)),0.10362119227647781,8,NO,8.0,2,0,18
subtree,4,512,42,(((0.5*((X1-X1)-0.5))+X2)*X1),0.09554282575845718,6,NO,11.0,4,0,36
subtree,4,512,1337,(X1*((0.5-X2)*(log(X1)-X1))),0.09368086606264114,6,NO,4.166666666666667,3,0,36
subtree,4,512,9999,(((X2-(0.1*X1))*0.5)*(X1*X2)),0.0671282559633255,6,NO,7.166666666666667,3,0,36
subtree,8,256,42,abs((X1*((0.5*0.5)-X2))),0.0801391527056694,6,NO,8.75,6,0,72
subtree,8,256,1337,abs(abs((X1*(X2-(0.5-0.1))))),0.07268370687961578,6,NO,11.178571428571429,8,0,72
subtree,8,256,9999,(abs((X2-0.5))*X1),0.08167704194784164,6,NO,8.642857142857142,7,0,72
subtree,16,128,42,(X1*(X2-exp(-1.0))),0.057355280965566635,6,NO,11.233333333333333,16,1,144
subtree,16,128,1337,((X2*(0.5*X1))*X2),0.03500000014901161,6,NO,10.066666666666666,16,0,144
subtree,16,128,9999,(X1*(X2-(0.5-0.1))),0.06547864526510239,6,NO,11.008333333333333,15,1,144
