Islands,Island_Pop,Seed,Best_Eq,Complexity,Train_MSE,Min_Hamming,Recovered,Final_Inter_Dist,Final_Unique_Structs
1,2048,42,((X1*X2)-(0.1*exp(X1))),8,0.07039782404899597,9,NO,0.0,1
1,2048,1337,(X1*(X2-(sin(X5)/(X4+X1)))),10,0.11887600272893906,6,NO,0.0,1
1,2048,9999,INVALID,8,0.06701760739088058,12,NO,0.0,1
2,1024,42,abs((0.5-(X2*X1))),6,0.0918949767947197,6,NO,11.0,2
2,1024,1337,(X1*((X2*0.5)*X2)),7,0.03500000014901161,6,NO,10.0,2
2,1024,9999,((X1*(X2-0.5))+0.1),7,0.07179319113492966,8,NO,12.0,2
4,512,42,(((X2*X1)*X2)*0.5),7,0.03500000014901161,7,NO,11.333333333333334,4
4,512,1337,(((X2+0.5)*X1)-X1),7,0.09362119436264038,6,NO,10.333333333333334,4
4,512,9999,((X2-exp((-1.0-(X1-X1))))*X1),10,0.0773552805185318,5,NO,2.0,3
8,256,42,(X2*(0.5*(X2*X1))),7,0.03500000014901161,8,NO,12.035714285714286,8
8,256,1337,(0.5*((X1*X2)*X2)),7,0.03500000014901161,4,NO,10.142857142857142,8
8,256,9999,(X1*(X2-0.5)),5,0.08362118899822235,6,NO,9.392857142857142,8
16,128,42,(X1*(X2*(X2*0.5))),7,0.03500000014901161,6,NO,10.525,15
16,128,1337,abs(((0.5-X2)*X1)),6,0.08167704194784164,6,NO,11.583333333333334,16
16,128,9999,((X2/(X1/((X1*X2)*X1)))*0.5),11,0.054999999701976776,6,NO,9.533333333333333,13
