Domain,Noise,Seed,EvolvedEquation,FinalMSE
0.1,0.0,0,((0.5 - X[t-5]) - 0.5),0.1201
0.1,0.0,1,(X[t-2] * (0.5 - 0.1)),0.1142
0.1,0.0,2,(0.5 * ((X[t-4] - X[t-4]) / 0.1)),0.1717
0.1,0.0,3,(X[t-2] / 1.0),0.0734
0.1,0.0,4,(X[t-2] * 0.5),0.0741
0.1,0.01,0,(X[t-1] * 0.5),0.0740
0.1,0.01,1,0.1,0.0316
0.1,0.01,2,(-1.0 * (X[t-1] - X[t-1])),0.1369
0.1,0.01,3,(0.5 * X[t-2]),0.0742
0.1,0.01,4,(0.1 - (-1.0 * X[t-1])),0.1285
0.1,0.05,0,(0.1 - (-1.0 * X[t-1])),0.1306
0.1,0.05,1,(-1.0 - (-1.0 - X[t-2])),0.1254
0.1,0.05,2,((0.1 - X[t-1]) * 0.1),0.1202
0.1,0.05,3,(0.1 - 0.1),0.0652
0.1,0.05,4,(X[t-1] - (0.5 * X[t-1])),0.1315
0.1,0.1,0,(X[t-1] - (0.5 - 0.5)),0.1237
0.1,0.1,1,(X[t-2] / (X[t-1] / X[t-1])),0.1543
0.1,0.1,2,(0.5 * X[t-1]),0.0837
0.1,0.1,3,((X[t-1] - X[t-4]) * 0.5),0.1400
0.1,0.1,4,(X[t-1] - (X[t-1] * 0.1)),0.1391
0.1,0.25,0,0.1,0.0945
0.1,0.25,1,(X[t-4] * -1.0),0.1475
0.1,0.25,2,X[t-2],0.0926
0.1,0.25,3,(X[t-1] + X[t-2]),0.1458
0.1,0.25,4,X[t-2],0.0976
0.1,0.5,0,(X[t-3] + X[t-2]),0.3350
0.1,0.5,1,(X[t-1] - (-1.0 - -1.0)),0.3705
0.1,0.5,2,(X[t-2] * 0.5),0.3275
0.1,0.5,3,X[t-1],0.2967
0.1,0.5,4,X[t-2],0.2804
0.5,0.0,0,(X[t-1] + X[t-2]),0.0851
0.5,0.0,1,(X[t-1] + X[t-2]),0.0851
0.5,0.0,2,(X[t-2] + X[t-1]),0.0851
0.5,0.0,3,"avg((X[t-1] + X[t-2]), X[t-2])",0.1690
