Generation,Mean_Fit,Master_Fit,Max_Fit,Flips,Flip_Rate,Threshold,Time
0,-1120.8,-989.2,-197.5,152,9.11,10.4,4.68
1,-1080.8,-1152.1,-343.6,231,13.85,11.3,4.64
2,-1089.1,-1111.7,-200.3,222,13.31,12.3,4.00
3,-1110.4,-934.4,-446.7,190,11.39,13.1,3.99
4,-1114.0,-922.1,-248.0,159,9.53,13.7,4.74
5,-1095.6,-1025.1,-288.1,144,8.63,14.1,4.47
6,-1060.4,-1066.0,-233.0,160,9.59,14.8,3.45
7,-1099.3,-1137.7,-258.3,139,8.33,15.3,4.03
8,-1093.2,-1060.7,-239.4,146,8.75,15.9,6.33
9,-1065.8,-1203.3,-271.2,129,7.73,16.3,3.14
10,-1080.8,-1013.0,-247.1,104,6.24,16.5,3.21
11,-1069.4,-899.5,-255.5,105,6.29,16.7,3.33
12,-1054.6,-1070.9,-225.9,112,6.71,17.0,3.50
13,-1068.4,-932.3,-240.7,104,6.24,17.2,4.13
14,-1088.2,-1065.4,-227.4,133,7.97,17.7,4.01
15,-1081.3,-1094.4,-251.3,115,6.89,18.1,4.32
16,-1082.7,-875.1,-226.4,76,4.56,18.0,4.11
17,-1056.7,-1240.5,-225.6,98,5.88,18.1,3.49
18,-1061.8,-980.5,-201.7,107,6.41,18.4,4.10
19,-1072.3,-1109.5,-253.8,103,6.18,18.6,3.95
20,-1079.9,-1178.0,-200.8,92,5.52,18.7,8.59
21,-1064.0,-939.7,-200.1,83,4.98,18.7,4.00
22,-1062.8,-1258.2,-212.0,81,4.86,18.7,3.73
23,-1050.6,-910.5,-176.0,91,5.46,18.8,3.52
24,-1073.3,-1191.4,-229.3,84,5.04,18.8,7.20
25,-1046.2,-871.4,-212.2,103,6.18,19.0,3.89
26,-1055.0,-1177.0,-239.7,71,4.26,18.8,3.52
27,-1051.7,-1230.8,-194.9,99,5.94,19.0,4.41
28,-1047.7,-2212.1,-228.5,80,4.80,19.0,3.30
29,-1032.6,-1039.8,-150.0,104,6.24,19.2,3.59
30,-1054.4,-1000.3,-188.7,64,3.84,19.0,3.51
31,-1049.7,-1054.3,-223.7,83,4.98,19.0,3.28
32,-1037.7,-1129.8,-205.8,103,6.18,19.2,4.95
33,-1041.9,-1163.6,-212.8,107,6.41,19.5,3.29
34,-1037.6,-1016.2,-214.8,105,6.29,19.7,3.34
35,-1032.6,-796.3,-189.9,63,3.78,19.5,4.05
36,-1041.7,-969.5,-204.3,104,6.24,19.7,3.64
37,-1060.5,-1040.0,-232.3,81,4.86,19.7,4.44
38,-1054.0,-1119.5,-197.4,98,5.88,19.9,3.76
39,-1038.4,-1341.9,-208.2,67,4.02,19.7,3.92
40,-1046.2,-1104.5,-176.5,80,4.80,19.6,5.80
41,-1059.2,-1109.5,-211.2,85,5.10,19.7,4.00
42,-1050.0,-1128.4,-188.9,93,5.58,19.8,4.02
43,-1039.5,-1086.2,-205.1,75,4.50,19.7,3.33
44,-1049.8,-1218.4,-194.3,74,4.44,19.6,3.74
45,-1054.3,-993.4,-208.2,105,6.29,19.8,3.52
46,-1046.5,-1330.4,-133.1,79,4.74,19.8,2.90
47,-1050.3,-1089.2,-200.3,83,4.98,19.8,3.57
48,-1050.7,-1009.0,-146.1,75,4.50,19.7,3.72
49,-1067.9,-1177.6,-186.0,77,4.62,19.6,6.81
50,-1045.1,-1140.9,-213.4,80,4.80,19.5,3.21
51,-1026.7,-1165.6,-220.7,83,4.98,19.5,3.45
52,-1033.1,-920.5,-216.4,83,4.98,19.5,3.54
53,-1045.9,-871.8,-197.8,84,5.04,19.5,3.88
54,-1037.6,-1308.0,-198.9,103,6.18,19.8,3.74
55,-1041.6,-803.5,-220.3,85,5.10,19.8,4.18
56,-1015.5,-1501.3,-202.7,78,4.68,19.7,5.23
57,-1033.0,-892.2,-180.5,81,4.86,19.7,3.40
58,-1046.7,-963.9,-211.1,82,4.92,19.7,3.76
59,-1038.5,-1078.0,-205.5,87,5.22,19.7,3.38
60,-1051.9,-977.7,-196.3,90,5.40,19.8,6.02
61,-1024.9,-1022.4,-181.4,87,5.22,19.8,3.55
62,-1034.6,-1268.9,-196.2,96,5.76,20.0,3.75
63,-1014.5,-1207.5,-127.1,71,4.26,19.8,4.34
64,-907.3,-921.0,-200.9,104,6.24,20.1,2.80
65,-907.8,-1067.3,-209.4,71,4.26,19.9,2.87
66,-844.7,-802.2,-120.7,111,6.65,20.3,4.03
67,-862.2,-866.8,-188.7,77,4.62,20.2,2.62
68,-873.7,-781.4,-197.3,83,4.98,20.2,3.26
69,-854.9,-883.1,-202.2,82,4.92,20.2,3.81
70,-828.1,-715.8,-168.4,85,5.10,20.2,3.44
71,-881.9,-891.8,-193.9,74,4.44,20.1,3.49
72,-857.0,-823.6,-187.5,90,5.40,20.2,2.88
73,-853.4,-781.4,-163.7,86,5.16,20.2,2.58
74,-848.1,-803.8,-200.8,81,4.86,20.2,2.65
75,-859.7,-798.9,-220.2,83,4.98,20.2,3.46
76,-855.4,-717.7,-204.4,85,5.10,20.2,3.18
77,-862.0,-927.1,-163.3,90,5.40,20.3,3.12
78,-882.3,-694.0,-189.1,98,5.88,20.4,3.19
79,-855.9,-711.1,-193.8,85,5.10,20.4,3.91
80,-836.8,-722.0,-195.4,91,5.46,20.5,2.61
81,-855.9,-848.0,-204.4,90,5.40,20.6,2.77
82,-854.1,-838.8,-192.4,70,4.20,20.5,3.92
83,-857.1,-1004.8,-199.1,91,5.46,20.6,3.07
84,-846.4,-1135.4,-198.4,81,4.86,20.5,2.76
85,-849.1,-875.0,-144.8,77,4.62,20.4,3.44
86,-849.6,-986.5,-163.3,95,5.70,20.6,3.59
87,-853.0,-775.3,-204.6,79,4.74,20.5,2.80
88,-838.9,-721.6,-174.2,84,5.04,20.5,3.56
89,-835.6,-752.8,-200.6,80,4.80,20.5,6.26
90,-828.0,-759.7,-133.1,82,4.92,20.5,3.78
91,-804.0,-813.7,-195.9,98,5.88,20.7,3.08
92,-817.7,-716.9,-181.5,68,4.08,20.5,3.28
93,-827.6,-800.6,-153.0,108,6.47,20.8,2.71
94,-804.7,-932.6,-188.5,71,4.26,20.6,3.27
95,-815.1,-986.5,-156.3,73,4.38,20.5,4.26
96,-813.0,-829.1,-192.5,106,6.35,20.8,3.08
97,-811.6,-699.7,-154.8,68,4.08,20.6,3.02
98,-808.6,-987.3,-174.4,71,4.26,20.4,3.07
99,-810.3,-846.7,-175.7,90,5.40,20.5,2.91
100,-813.4,-819.6,-156.2,84,5.04,20.5,3.26
101,-808.9,-899.6,-155.7,76,4.56,20.4,2.75
102,-820.5,-977.7,-197.9,78,4.68,20.4,3.07
103,-798.2,-887.1,-187.5,87,5.22,20.4,6.65
104,-833.0,-906.9,-195.9,90,5.40,20.5,3.59
105,-802.5,-1100.8,-202.7,88,5.28,20.5,3.28
106,-806.4,-944.5,-178.2,90,5.40,20.6,3.49
107,-814.1,-838.6,-182.5,81,4.86,20.6,3.07
108,-784.3,-844.3,-190.3,76,4.56,20.5,3.17
109,-810.1,-919.0,-197.8,83,4.98,20.5,3.81
110,-778.7,-779.8,-179.6,76,4.56,20.4,3.54
111,-797.6,-945.2,-174.4,87,5.22,20.4,3.46
112,-557.3,-753.2,-196.7,81,4.86,20.4,4.18
113,-534.6,-323.9,-183.7,80,4.80,20.4,3.47
114,-542.1,-460.1,-194.1,85,5.10,20.4,3.65
115,-518.7,-884.2,-155.3,85,5.10,20.4,3.33
116,-510.6,-370.3,-170.2,90,5.40,20.5,3.53
117,-525.6,-347.2,-123.7,93,5.58,20.6,3.23
118,-518.2,-339.7,-168.3,84,5.04,20.6,3.56
119,-511.2,-568.4,-162.4,69,4.14,20.4,3.75
120,-521.2,-317.5,-183.1,80,4.80,20.4,3.33
121,-511.9,-587.7,-173.7,92,5.52,20.5,3.21
122,-511.8,-343.7,-154.4,73,4.38,20.4,4.22
123,-513.3,-263.5,-181.1,79,4.74,20.3,3.14
124,-511.8,-271.6,-179.7,84,5.04,20.3,4.25
125,-510.2,-290.6,-148.2,73,4.38,20.2,3.80
126,-487.2,-306.3,-167.3,86,5.16,20.2,3.22
127,-491.8,-316.9,-156.4,75,4.50,20.1,3.33
128,-496.6,-331.7,-166.0,102,6.12,20.4,3.57
129,-507.6,-339.5,-157.3,81,4.86,20.3,3.51
130,-474.1,-263.6,-179.0,91,5.46,20.4,3.71
131,-472.1,-303.2,-186.9,77,4.62,20.3,3.20
132,-471.7,-380.9,-172.7,88,5.28,20.4,3.20
133,-369.4,-347.5,-152.4,83,4.98,20.4,2.86
134,-351.0,-239.5,-181.6,75,4.50,20.3,3.30
135,-347.3,-243.5,-100.7,95,5.70,20.4,3.34
136,-343.0,-302.4,-184.9,77,4.62,20.3,3.58
137,-337.4,-329.1,-167.2,89,5.34,20.4,3.17
138,-347.6,-486.9,-181.2,81,4.86,20.4,3.53
139,-331.1,-147.3,-145.3,82,4.92,20.4,3.03
140,-336.3,-194.4,-178.9,94,5.64,20.5,3.09
141,-332.2,-360.8,-163.9,83,4.98,20.5,6.11
142,-341.7,-309.7,-154.8,76,4.56,20.4,3.12
143,-333.8,-244.2,-159.6,88,5.28,20.5,3.14
144,-334.3,-289.6,-160.4,75,4.50,20.4,3.14
145,-331.9,-257.0,-137.1,77,4.62,20.3,3.44
146,-330.6,-329.9,-148.2,79,4.74,20.2,2.97
147,-325.8,-330.5,-171.2,82,4.92,20.2,3.04
148,-323.3,-351.8,-159.5,76,4.56,20.1,2.88
149,-327.4,-243.3,-161.7,82,4.92,20.1,3.43
150,-322.6,-324.8,-148.1,96,5.76,20.3,3.20
151,-314.1,-273.6,-163.5,73,4.38,20.1,2.89
152,-307.6,-311.1,-163.2,80,4.80,20.1,2.91
153,-301.5,-293.9,-161.1,84,5.04,20.1,3.06
154,-319.2,-209.1,-163.9,86,5.16,20.1,3.16
155,-311.2,-235.8,-165.4,79,4.74,20.1,3.15
156,-311.7,-274.3,-165.6,97,5.82,20.2,3.22
157,-308.3,-206.0,-160.6,75,4.50,20.1,2.92
158,-314.9,-324.5,-163.5,84,5.04,20.1,3.21
159,-302.3,-218.7,-151.1,94,5.64,20.3,2.85
160,-303.8,-285.5,-154.7,94,5.64,20.4,2.70
161,-301.6,-261.9,-149.2,78,4.68,20.3,3.00
162,-311.6,-324.8,-164.4,72,4.32,20.2,3.00
163,-312.4,-267.4,-157.7,84,5.04,20.2,3.14
164,-309.1,-271.1,-138.6,86,5.16,20.2,3.09
165,-325.0,-350.6,-152.4,90,5.40,20.3,3.23
166,-320.5,-324.2,-159.2,84,5.04,20.3,3.17
167,-312.8,-289.7,-170.7,70,4.20,20.2,3.11
168,-302.6,-216.5,-162.6,79,4.74,20.1,3.34
169,-306.9,-193.0,-160.7,87,5.22,20.1,3.22
170,-311.3,-339.2,-166.6,97,5.82,20.3,4.14
171,-297.5,-202.9,-159.9,76,4.56,20.2,3.43
172,-314.0,-360.2,-163.7,85,5.10,20.2,3.08
173,-307.2,-223.9,-166.1,88,5.28,20.3,3.38
174,-309.9,-227.0,-163.7,82,4.92,20.3,3.07
175,-301.1,-347.3,-166.8,86,5.16,20.3,3.19
176,-299.9,-307.9,-166.5,69,4.14,20.1,2.92
177,-299.4,-237.0,-156.6,98,5.88,20.3,3.13
178,-305.6,-271.9,-171.3,86,5.16,20.3,3.17
179,-306.0,-260.9,-161.0,83,4.98,20.3,2.80
180,-317.8,-201.3,-169.5,76,4.56,20.2,2.95
181,-313.8,-322.3,-163.8,98,5.88,20.4,2.88
182,-312.8,-200.0,-161.5,82,4.92,20.4,3.08
