Hamming,Trial,J0,J_K,Delta_J,Recovered
1,0,1000000000.00000,1000000000.00000,999999999.96500,True
1,1,63.36955,1000000000.00000,0.00000,False
1,2,1000000000.00000,185.99866,999999964.71052,False
1,3,1000000000.00000,1000000000.00000,999999879.81990,False
1,4,63.36955,173.11839,63.32955,True
1,5,1000000000.00000,1000000000.00000,999999964.71052,False
1,6,148.25429,1000000000.00000,148.21929,True
1,7,182.71446,145.60153,182.67946,True
1,8,1000000000.00000,1000000000.00000,999999924.71641,False
1,9,124.91735,1000000000.00000,124.88235,True
1,10,1000000000.00000,191.03979,999999999.96500,True
1,11,182.71446,1000000000.00000,182.67946,True
1,12,1000000000.00000,1000000000.00000,999999999.96500,True
1,13,1000000000.00000,1000000000.00000,999999860.50851,False
1,14,1000000000.00000,1000000000.00000,999999939.72432,False
1,15,1000000000.00000,180.49965,999999860.86919,False
1,16,61.22753,1000000000.00000,61.19253,True
1,17,145.62154,1000000000.00000,145.58154,True
1,18,1000000000.00000,1000000000.00000,999999999.96500,True
1,19,1000000000.00000,1000000000.00000,999999999.96500,True
1,20,63.36955,1000000000.00000,63.33455,True
1,21,1000000000.00000,1000000000.00000,999999999.96500,True
1,22,1000000000.00000,1000000000.00000,999999999.96000,True
1,23,1000000000.00000,1000000000.00000,999999999.96500,True
1,24,1000000000.00000,1000000000.00000,999999966.91812,False
1,25,1000000000.00000,1000000000.00000,999999894.57672,False
1,26,1000000000.00000,1000000000.00000,999999999.96500,True
1,27,184.60466,111.36740,101.32988,False
1,28,148.25429,179.60757,148.21929,True
1,29,1000000000.00000,1000000000.00000,999999999.96500,True
1,30,1000000000.00000,1000000000.00000,999999999.96500,True
1,31,1000000000.00000,1000000000.00000,999999863.30737,False
1,32,268.34897,1000000000.00000,178.24368,False
1,33,1000000000.00000,1000000000.00000,999999890.76573,False
1,34,148.25429,1000000000.00000,62.82326,False
1,35,1000000000.00000,1000000000.00000,999999924.72141,False
1,36,1000000000.00000,1000000000.00000,999999999.96500,True
1,37,1000000000.00000,1000000000.00000,999999882.23774,False
1,38,1000000000.00000,1000000000.00000,999999964.71052,False
1,39,130.94420,1000000000.00000,130.90920,True
