Generation,Mean_Fit,Master_Fit,Max_Fit,Time
0,-1212.3,-685.4,-102.4,7.80
1,-1170.7,-683.5,-135.3,9.18
2,-1000.1,-635.1,-98.7,8.84
3,-994.0,-760.6,-87.7,8.82
4,-1002.5,-685.2,-122.7,8.88
5,-995.1,-1036.5,-77.8,8.71
6,-887.4,-744.9,0.3,8.89
7,-912.7,-527.5,-126.6,8.96
8,-830.3,-604.5,-110.0,8.37
9,-990.2,-1126.0,249.2,8.53
10,-839.4,-687.7,-152.4,8.69
11,-830.7,-669.3,-1.6,8.69
12,-740.3,-594.3,-28.2,8.96
13,-711.5,-699.2,-33.5,5.34
14,-725.7,-434.2,-19.5,4.55
15,-641.2,-600.0,-17.2,4.70
16,-647.9,-294.8,3.3,4.50
17,-545.8,-483.5,-43.1,4.38
18,-482.7,-152.2,15.7,4.30
19,-443.1,-612.7,38.9,4.59
20,-388.0,-118.8,55.0,4.75
21,-325.1,-121.5,17.7,4.32
22,-286.1,-222.0,-17.0,4.33
23,-261.1,-140.1,-47.3,3.89
24,-244.9,-313.6,-41.2,3.23
25,-226.8,-168.2,-36.8,2.36
26,-212.2,-241.9,-41.1,4.47
27,-221.5,-226.7,-80.4,4.59
28,-205.6,-251.1,-34.4,1.93
29,-199.7,-142.8,-35.4,1.79
30,-212.3,-232.2,-69.1,1.87
31,-197.9,-223.2,-34.5,1.77
32,-198.2,-227.3,-17.5,4.40
33,-206.5,-259.6,-55.0,2.40
34,-202.8,-189.8,-58.6,2.56
35,-189.9,-99.8,-29.7,1.55
36,-201.8,-200.7,-52.6,1.68
37,-194.7,-257.7,-71.0,1.62
38,-194.9,-238.5,-20.5,1.55
39,-200.2,-345.2,-73.5,1.50
40,-205.4,-209.2,-53.6,1.42
41,-193.9,-176.9,-37.9,2.26
42,-201.3,-215.4,-48.1,4.59
43,-198.2,-152.0,-54.0,1.63
44,-187.7,-131.1,-39.1,1.94
45,-191.3,-129.4,-80.8,1.44
46,-194.2,-118.1,-43.3,1.37
47,-204.1,-134.3,-49.6,2.13
48,-193.6,-123.7,-46.6,1.93
49,-199.1,-214.4,-49.8,1.37
50,-198.7,-217.8,-80.3,2.79
51,-194.7,-265.0,-54.8,1.39
52,-201.1,-132.5,-38.6,1.54
53,-192.2,-125.8,-29.6,1.51
54,-204.3,-326.1,-33.0,2.37
55,-207.7,-123.5,-77.3,3.57
56,-191.2,-200.6,-38.4,1.66
57,-195.0,-169.4,-27.4,2.14
58,-203.9,-126.2,-79.9,1.75
59,-189.7,-113.3,-51.4,1.55
60,-195.5,-133.9,-44.9,1.53
61,-191.5,-144.6,-44.7,1.70
62,-190.1,-141.3,5.0,1.25
63,-193.1,-104.3,-78.7,3.19
64,-180.8,-113.1,-56.8,1.32
65,-185.8,-164.0,-60.3,1.44
66,-196.1,-138.6,-61.0,1.41
67,-196.6,-171.4,-79.3,1.43
68,-195.1,-186.7,-84.0,1.49
69,-195.5,-124.5,-49.3,1.42
70,-189.0,-287.2,-35.5,1.64
