corruption_distance,p1_gen,p2_gen,exact_gen
1,0,1,3
1,0,0,0
1,2,1,-1
1,24,-1,-1
1,0,0,0
1,10,0,-1
1,0,0,0
1,0,0,1
1,0,-1,-1
1,0,0,0
1,126,0,-1
1,0,0,0
1,0,0,0
1,207,6,-1
1,0,4,-1
1,189,7,-1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,-1
1,2,0,2
1,0,4,-1
1,0,1,1
1,25,0,-1
1,-1,-1,-1
1,2,1,2
1,0,0,0
1,0,0,0
1,2,0,2
1,0,0,0
1,7,3,-1
1,0,-1,-1
1,0,2,-1
1,0,0,0
1,0,57,-1
1,0,0,0
1,31,10,-1
1,33,0,-1
1,0,0,0
1,5,-1,-1
1,7,0,-1
1,0,0,0
1,48,-1,-1
1,0,0,0
1,0,56,-1
1,2,0,-1
1,23,22,-1
1,36,0,-1
1,3,23,-1
1,0,0,1
1,0,0,0
1,-1,-1,-1
1,0,-1,-1
1,0,-1,-1
1,9,9,-1
1,18,-1,-1
1,4,0,-1
1,-1,12,-1
1,0,0,-1
1,-1,-1,-1
1,0,0,0
1,0,0,0
1,-1,-1,-1
1,-1,-1,-1
1,0,0,3
1,0,0,0
1,0,0,0
1,0,-1,-1
1,-1,7,-1
1,69,-1,-1
1,-1,-1,-1
1,46,0,-1
1,0,67,-1
1,0,0,1
1,-1,-1,-1
1,4,0,-1
1,0,0,0
1,0,-1,-1
1,0,0,1
1,152,200,-1
1,0,3,-1
1,2,0,-1
1,0,44,-1
1,0,4,-1
1,0,0,0
1,2,0,-1
1,4,2,-1
1,0,2,-1
1,-1,0,-1
1,20,-1,-1
1,0,-1,-1
1,11,11,-1
1,6,0,-1
1,78,8,-1
1,0,2,3
1,0,0,0
1,0,-1,-1
1,34,-1,-1
1,0,0,-1
1,4,0,-1
1,62,-1,-1
1,5,0,-1
1,85,0,-1
1,0,-1,-1
1,0,0,0
1,0,0,0
1,0,2,3
1,0,-1,-1
1,0,1,1
1,0,30,-1
1,0,0,0
1,2,-1,-1
1,14,15,-1
1,0,3,-1
1,-1,-1,-1
1,-1,-1,-1
1,1,0,1
1,0,-1,-1
1,7,6,-1
1,2,0,7
1,0,0,0
1,0,0,0
1,0,-1,-1
1,147,-1,-1
1,0,0,1
1,0,2,-1
1,0,0,1
1,20,0,-1
1,7,7,-1
1,32,-1,-1
1,-1,-1,-1
1,2,0,-1
1,3,0,-1
1,15,0,-1
1,40,3,5
1,-1,-1,-1
1,1,0,11
1,155,3,-1
1,0,-1,-1
1,0,0,0
1,0,0,0
1,2,0,-1
1,22,-1,-1
1,4,0,-1
1,-1,-1,-1
1,0,2,-1
1,2,0,-1
1,-1,0,-1
1,118,0,0
1,0,0,0
1,4,3,-1
1,0,-1,-1
1,-1,0,-1
1,0,0,2
1,4,0,-1
1,0,-1,-1
1,0,2,-1
1,-1,-1,-1
1,44,17,-1
1,0,3,-1
1,0,0,0
1,0,1,-1
1,5,5,-1
1,10,-1,-1
1,0,-1,-1
1,0,0,-1
1,2,0,-1
1,0,0,0
1,0,-1,-1
1,0,0,-1
1,-1,0,-1
1,5,0,-1
1,0,3,-1
1,139,1,-1
1,-1,0,-1
1,0,0,-1
1,0,2,2
1,0,0,0
1,0,6,-1
1,0,0,-1
1,6,6,-1
1,0,0,-1
1,1,2,2
1,0,0,0
1,31,8,-1
1,0,0,0
1,0,2,22
1,0,-1,-1
1,0,0,0
1,-1,1,-1
1,16,-1,-1
1,0,0,1
1,59,-1,-1
1,0,0,-1
1,0,-1,-1
1,0,-1,-1
1,0,1,4
1,0,0,-1
1,0,0,-1
1,61,8,-1
1,16,-1,-1
1,0,0,-1
1,0,114,-1
1,-1,-1,-1
1,15,4,-1
1,5,0,-1
1,8,-1,-1
1,10,8,-1
1,0,0,3
1,0,0,0
1,3,2,-1
1,20,5,-1
1,0,0,0
1,1,0,1
1,0,0,0
1,0,0,-1
1,0,0,0
1,5,-1,5
1,90,90,-1
1,0,0,-1
1,0,0,-1
1,10,16,-1
