Mutation Scale,Step Size,Target Flip Rate,Mean Max Fitness,Mean Gens to Solve
2000,4000,0.2,500.0,19.5
2000,4000,0.1,488.0,36.0
2000,500,0.1,390.0,24.0
4000,1000,0.1,387.0,22.5
2000,2000,0.2,386.0,21.5
2000,500,0.05,383.5,20.5
2000,1000,0.2,381.5,26.0
2000,1000,0.1,318.0,37.0
4000,2000,0.2,303.0,40.0
4000,2000,0.05,281.5,23.5
1000,4000,0.1,255.5,21.5
4000,4000,0.2,255.5,22.5
1000,2000,0.2,255.5,25.5
4000,500,0.1,255.5,39.0
1000,1000,0.2,255.0,20.5
4000,2000,0.1,188.0,40.0
1000,1000,0.05,170.0,40.0
4000,1000,0.2,164.0,40.0
4000,1000,0.05,145.0,40.0
1000,4000,0.2,130.5,40.0
4000,4000,0.05,68.5,40.0
2000,2000,0.1,52.5,40.0
1000,2000,0.05,49.0,40.0
1000,2000,0.1,44.5,40.0
2000,4000,0.05,38.5,40.0
4000,500,0.2,38.5,40.0
1000,500,0.1,37.5,40.0
4000,4000,0.1,35.5,40.0
2000,500,0.2,33.5,40.0
1000,500,0.05,29.0,40.0
4000,500,0.05,18.0,40.0
1000,500,0.2,11.0,40.0
1000,1000,0.1,11.0,40.0
2000,1000,0.05,11.0,40.0
2000,2000,0.05,11.0,40.0
1000,4000,0.05,10.5,40.0
